borough,county_fips,hood_code,hood_name,pop_2000,pop_2010,pop_change,pop_perc_change
Bronx,005,BX01,Claremont-Bathgate,"28,149","31,078","2,929",10.4
Bronx,005,BX03,Eastchester-Edenwald-Baychester,"35,422","34,517",-905,-2.6
Bronx,005,BX05,Bedford Park-Fordham North,"55,329","54,415",-914,-1.7
Bronx,005,BX06,Belmont,"25,967","27,378","1,411",5.4
Bronx,005,BX07,Bronxdale,"34,309","35,538","1,229",3.6
Bronx,005,BX08,West Farms-Bronx River,"34,542","35,011",469,1.4
Bronx,005,BX09,Soundview-Castle Hill-Clason Point-Harding Park,"50,753","53,686","2,933",5.8
Bronx,005,BX10,Pelham Bay-Country Club-City Island,"27,140","26,583",-557,-2.1
Bronx,005,BX13,Co-Op City,"40,676","43,752","3,076",7.6
Bronx,005,BX14,East Concourse-Concourse Village,"58,961","62,284","3,323",5.6
Bronx,005,BX17,East Tremont,"39,280","43,423","4,143",10.5
Bronx,005,BX22,North Riverdale-Fieldston-Riverdale,"28,013","27,860",-153,-0.5
Bronx,005,BX26,Highbridge,"33,844","37,727","3,883",11.5
Bronx,005,BX27,Hunts Point,"25,142","27,204","2,062",8.2
Bronx,005,BX28,Van Cortlandt Village,"50,607","50,100",-507,-1.0
Bronx,005,BX29,Spuyten Duyvil-Kingsbridge,"29,872","30,161",289,1.0
Bronx,005,BX30,Kingsbridge Heights,"33,286","32,496",-790,-2.4
Bronx,005,BX31,Allerton-Pelham Gardens,"28,510","28,903",393,1.4
Bronx,005,BX33,Longwood,"23,082","26,196","3,114",13.5
Bronx,005,BX34,Melrose South-Mott Haven North,"33,195","39,214","6,019",18.1
Bronx,005,BX35,Morrisania-Melrose,"29,797","37,865","8,068",27.1
Bronx,005,BX36,University Heights-Morris Heights,"54,335","54,188",-147,-0.3
Bronx,005,BX37,Van Nest-Morris Park-Westchester Square,"27,135","29,250","2,115",7.8
Bronx,005,BX39,Mott Haven-Port Morris,"49,030","52,413","3,383",6.9
Bronx,005,BX40,Fordham South,"26,880","28,262","1,382",5.1
Bronx,005,BX41,Mount Hope,"52,649","51,807",-842,-1.6
Bronx,005,BX43,Norwood,"40,817","40,494",-323,-0.8
Bronx,005,BX44,Williamsbridge-Olinville,"57,420","61,321","3,901",6.8
Bronx,005,BX46,Parkchester,"29,353","29,821",468,1.6
Bronx,005,BX49,Pelham Parkway,"30,006","30,073",67,0.2
Bronx,005,BX52,Schuylerville-Throgs Neck-Edgewater Park,"43,712","44,167",455,1.0
Bronx,005,BX55,Soundview-Bruckner,"35,137","35,634",497,1.4
Bronx,005,BX59,Westchester-Unionport,"25,768","27,248","1,480",5.7
Bronx,005,BX62,Woodlawn-Wakefield,"43,583","42,483","-1,100",-2.5
Bronx,005,BX63,West Concourse,"39,557","39,282",-275,-0.7
Bronx,005,BX75,Crotona Park East,"18,072","20,277","2,205",12.2
Bronx,005,BX98,Rikers Island,"12,780","11,091","-1,689",-13.2
Bronx,005,BX99,park-cemetery-etc-Bronx,540,"1,906","1,366",253.0
Brooklyn,047,BK09,Brooklyn Heights-Cobble Hill,"22,548","22,887",339,1.5
Brooklyn,047,BK17,Sheepshead Bay-Gerritsen Beach-Manhattn Bch,"64,596","64,518",-78,-0.1
Brooklyn,047,BK19,Brighton Beach,"35,244","35,547",303,0.9
Brooklyn,047,BK21,Seagate-Coney Island,"34,267","31,965","-2,302",-6.7
Brooklyn,047,BK23,West Brighton,"17,370","17,750",380,2.2
Brooklyn,047,BK25,Homecrest,"45,679","44,316","-1,363",-3.0
Brooklyn,047,BK26,Gravesend,"29,257","29,436",179,0.6
Brooklyn,047,BK27,Bath Beach,"28,572","29,931","1,359",4.8
Brooklyn,047,BK28,Bensonhurst West,"84,640","88,727","4,087",4.8
Brooklyn,047,BK29,Bensonhurst East,"58,566","62,978","4,412",7.5
Brooklyn,047,BK30,Dyker Heights,"39,332","42,419","3,087",7.8
Brooklyn,047,BK31,Bay Ridge,"80,539","79,371","-1,168",-1.5
Brooklyn,047,BK32,Sunset Park West,"52,312","54,041","1,729",3.3
Brooklyn,047,BK33,Carroll Gardens-Columbia Street-Red Hook,"38,327","38,353",26,0.1
Brooklyn,047,BK34,Sunset Park East,"66,150","72,340","6,190",9.4
Brooklyn,047,BK35,Stuyvesant Heights,"61,827","63,504","1,677",2.7
Brooklyn,047,BK37,Park Slope-Gowanus,"67,263","67,649",386,0.6
Brooklyn,047,BK38,DUMBO-Vinegar Hill-Downtown Brklyn-Boerum Hill,"30,847","34,495","3,648",11.8
Brooklyn,047,BK40,Windsor Terrace,"20,779","20,988",209,1.0
Brooklyn,047,BK41,Kensington-Ocean Parkway,"36,937","36,891",-46,-0.1
Brooklyn,047,BK42,Flatbush,"110,875","105,804","-5,071",-4.6
Brooklyn,047,BK43,Midwood,"55,440","52,835","-2,605",-4.7
Brooklyn,047,BK44,Madison,"39,076","38,917",-159,-0.4
Brooklyn,047,BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,"42,940","45,231","2,291",5.3
Brooklyn,047,BK46,Ocean Parkway South,"20,556","20,299",-257,-1.3
Brooklyn,047,BK50,Canarsie,"85,058","83,693","-1,365",-1.6
Brooklyn,047,BK58,Flatlands,"66,726","64,762","-1,964",-2.9
Brooklyn,047,BK60,Prospect Lefferts Gardens-Wingate,"70,300","67,459","-2,841",-4.0
Brooklyn,047,BK61,Crown Heights North,"103,462","103,169",-293,-0.3
Brooklyn,047,BK63,Crown Heights South,"42,370","39,670","-2,700",-6.4
Brooklyn,047,BK64,Prospect Heights,"19,655","19,849",194,1.0
Brooklyn,047,BK68,Fort Greene,"28,335","26,079","-2,256",-8.0
Brooklyn,047,BK69,Clinton Hill,"33,292","34,791","1,499",4.5
Brooklyn,047,BK72,Williamsburg,"32,269","32,926",657,2.0
Brooklyn,047,BK73,North Side-South Side,"40,130","45,774","5,644",14.1
Brooklyn,047,BK75,Bedford,"59,227","70,713","11,486",19.4
Brooklyn,047,BK76,Greenpoint,"37,821","34,719","-3,102",-8.2
Brooklyn,047,BK77,Bushwick North,"56,093","57,138","1,045",1.9
Brooklyn,047,BK78,Bushwick South,"64,617","72,101","7,484",11.6
Brooklyn,047,BK79,Ocean Hill,"30,067","31,935","1,868",6.2
Brooklyn,047,BK81,Brownsville,"59,099","58,300",-799,-1.4
Brooklyn,047,BK82,East New York,"83,275","91,958","8,683",10.4
Brooklyn,047,BK83,Cypress Hills-City Line,"48,961","49,223",262,0.5
Brooklyn,047,BK85,East New York (Pennsylvania Ave),"27,624","29,343","1,719",6.2
Brooklyn,047,BK88,Borough Park,"101,055","106,357","5,302",5.2
Brooklyn,047,BK90,East Williamsburg,"31,878","34,158","2,280",7.2
Brooklyn,047,BK91,East Flatbush-Farragut,"56,033","50,355","-5,678",-10.1
Brooklyn,047,BK93,Starrett City,"14,621","13,354","-1,267",-8.7
Brooklyn,047,BK95,Erasmus,"31,392","29,938","-1,454",-4.6
Brooklyn,047,BK96,Rugby-Remsen Village,"57,934","55,326","-2,608",-4.5
Brooklyn,047,BK99,park-cemetery-etc-Brooklyn,93,418,325,349.5
Manhattan,061,MN01,Marble Hill-Inwood,"49,087","46,746","-2,341",-4.8
Manhattan,061,MN03,Central Harlem North-Polo Grounds,"70,016","75,282","5,266",7.5
Manhattan,061,MN04,Hamilton Heights,"50,555","48,520","-2,035",-4.0
Manhattan,061,MN06,Manhattanville,"24,772","22,950","-1,822",-7.4
Manhattan,061,MN09,Morningside Heights,"54,208","55,929","1,721",3.2
Manhattan,061,MN11,Central Harlem South,"39,075","43,383","4,308",11.0
Manhattan,061,MN12,Upper West Side,"136,954","132,378","-4,576",-3.3
Manhattan,061,MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,"55,839","70,150","14,311",25.6
Manhattan,061,MN14,Lincoln Square,"55,239","61,489","6,250",11.3
Manhattan,061,MN15,Clinton,"40,595","45,884","5,289",13.0
Manhattan,061,MN17,Midtown-Midtown South,"25,807","28,630","2,823",10.9
Manhattan,061,MN19,Turtle Bay-East Midtown,"49,737","51,231","1,494",3.0
Manhattan,061,MN20,Murray Hill-Kips Bay,"48,419","50,742","2,323",4.8
