boro_name,county_fips,boro_code,tract_id,pop_2000,pop_2010,pop_change,pop_percent_change,created_at,updated_at,the_geom,cartodb_id,borotract_id
Manhattan,061,1,000500,2,0,-2,-100,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,1104,1000500
Staten Island,085,5,011201,5590,5758,168,3,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,2090,5011201
Brooklyn,047,3,086400,2134,2231,97,4.5,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,970,3086400
Queens,081,4,040500,3303,3303,0,0,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,1656,4040500
Queens,081,4,133300,3864,3679,-185,-4.8,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,2018,4133300
Bronx,005,2,004400,4671,4797,126,2.7,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,23,2004400
Bronx,005,2,004600,1419,1555,136,9.6,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,24,2004600
Bronx,005,2,004800,3678,3883,205,5.6,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,25,2004800
Bronx,005,2,005001,4871,4767,-104,-2.1,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,26,2005001
Bronx,005,2,005002,5869,5823,-46,-0.8,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,27,2005002
Bronx,005,2,005100,5634,5810,176,3.1,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,28,2005100
Bronx,005,2,005200,2186,2031,-155,-7.1,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,29,2005200
Bronx,005,2,005300,4159,4669,510,12.3,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,30,2005300
Bronx,005,2,005400,5550,5853,303,5.5,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,31,2005400
Bronx,005,2,005600,2710,2711,1,0,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,32,2005600
Bronx,005,2,005902,2682,2582,-100,-3.7,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,33,2005902
Bronx,005,2,006000,1081,1129,48,4.4,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,34,2006000
Bronx,005,2,006100,4039,3713,-326,-8.1,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,35,2006100
Bronx,005,2,006200,6399,6585,186,2.9,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,36,2006200
Bronx,005,2,006300,5885,5280,-605,-10.3,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,37,2006300
Bronx,005,2,006400,3967,3967,0,0,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,38,2006400
Bronx,005,2,006500,4655,5337,682,14.7,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,39,2006500
Bronx,005,2,006700,6491,6984,493,7.6,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,40,2006700
Bronx,005,2,006800,3209,2897,-312,-9.7,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,41,2006800
Bronx,005,2,006900,4323,7564,3241,75,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,42,2006900
Bronx,005,2,007000,4160,4584,424,10.2,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,43,2007000
Bronx,005,2,007100,1885,1907,22,1.2,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,44,2007100
Bronx,005,2,007200,5073,5432,359,7.1,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,45,2007200
Bronx,005,2,007300,3248,3893,645,19.9,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,46,2007300
Bronx,005,2,007400,3503,3710,207,5.9,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,47,2007400
Bronx,005,2,007500,4688,4869,181,3.9,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,48,2007500
Bronx,005,2,007600,4929,5190,261,5.3,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,49,2007600
Bronx,005,2,007700,1307,1927,620,47.4,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,50,2007700
Bronx,005,2,007800,6171,6418,247,4,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,51,2007800
Bronx,005,2,007900,6598,6733,135,2,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,52,2007900
Bronx,005,2,008300,6204,6155,-49,-0.8,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,53,2008300
Bronx,005,2,008400,2079,2374,295,14.2,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,54,2008400
Bronx,005,2,008500,5428,5457,29,0.5,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,55,2008500
Bronx,005,2,008600,4381,4176,-205,-4.7,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,56,2008600
Bronx,005,2,008700,5203,5466,263,5.1,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,57,2008700
Bronx,005,2,008900,2886,3177,291,10.1,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,58,2008900
Bronx,005,2,009000,3687,3667,-20,-0.5,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,59,2009000
Bronx,005,2,009200,4877,5017,140,2.9,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,60,2009200
Bronx,005,2,009300,5531,6356,825,14.9,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,61,2009300
Bronx,005,2,009600,2099,2594,495,23.6,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,62,2009600
Bronx,005,2,009800,5538,5038,-500,-9,2014-02-23 16:51:03.423+00,2014-02-23 17:10:54.437475+00,,63,2009800
